Ablehnungsgrund,Adresse,Bewerbungsdatum,Bewerbungsquelle,Bewertung Assessment,Bewertung Erstes Gespräch,Bewertung Prescreening,E-Mail,Effektiver Gehalt,Einstellungsdatum,Geburtsdatum,Gehaltsvorstellungen,Geschlecht,Headhunter Firma,Headhunter Name,Interviewer,Job Titel,Kandidaten-ID,Nachname,Standort,Status,StellenID,Telefonnummer,Veröffentlichungsdatum,Vorname,id
Zu wenig Erfahrung,"Pseudonymized, 4665 Uri",01.04.2020,Headhunter,sehr gut,genügend,genügend,pseudonymized_E-Mail_10,96795.59,21.12.2020,13.04.1965,80-90k,M,Spörri-Gasser,Ela Imhof Bachmann,Manon Bättig,HR Specialist,a2f9e6ac-41df-41df-84be-0823ecd1dc49,pseudonymized_Nachname_10,Bern,Abgelehnt,95b561d6-08ae-412a-bdbd-36b80d085794,pseudonymized_Telefonnummer_10,10.08.2023,pseudonymized_Vorname_10,db6a
Überqualifiziert,"Pseudonymized, 6831 Wallis",11.04.2022,Headhunter,gut,knapp ungenügend,gut,pseudonymized_E-Mail_11,108831.92,12.09.2023,05.08.1997,100-110k,F,Spörri-Gasser,Ela Imhof Bachmann,Prof. Layla Küng,Brand Manager,e2d06637-2b23-461f-b23e-320306ba1636,pseudonymized_Nachname_11,Bern,Angebot,9f9a2e93-213a-44ac-837f-8b66be868c55,pseudonymized_Telefonnummer_11,27.08.2022,pseudonymized_Vorname_11,9f55
Bessere Kandidaten,"Pseudonymized, 1396 Zug",27.01.2022,Headhunter,genügend,gut,deutlich ungenügend,pseudonymized_E-Mail_12,105438.61,22.12.2023,24.11.1979,50-60k,M,Maurer Inc,Aloisia Stöckli-Bühlmann,Hermine Hess,IT Manager,e0977a26-cca4-468f-b844-a94aad202d4f,pseudonymized_Nachname_12,Bern,Assessment,ef9f7d62-38eb-49bd-bb88-8c7d3b63d8d3,pseudonymized_Telefonnummer_12,09.11.2023,pseudonymized_Vorname_12,3ca4
Zu wenig Erfahrung,"Pseudonymized, 1985 Waadt",07.02.2020,Headhunter,gut,sehr gut,sehr gut,pseudonymized_E-Mail_13,72299.09,01.03.2021,16.02.2006,90-100k,F,Haas-Näf,Remo Bernasconi,Ghislaine Walter,PR Specialist,b22d6f23-47d7-401a-b745-9720d6770ac6,pseudonymized_Nachname_13,Bern,1. Interview,89a5445b-8913-4aeb-b119-f12a868faf54,pseudonymized_Telefonnummer_13,01.04.2023,pseudonymized_Vorname_13,745e
Unzureichende Qualifikationen,"Pseudonymized, 4440 Thurgau",08.04.2021,Headhunter,deutlich ungenügend,knapp ungenügend,deutlich ungenügend,pseudonymized_E-Mail_14,127729.13,06.05.2023,18.10.1985,100-110k,M,Zingg-Gasser,Damaris Zbinden,Hermine Hess,PR Specialist,f2f27b96-7a51-4b89-8ac8-10f73286f4e8,pseudonymized_Nachname_14,Luzern,Assessment,e6ad791d-ceed-4e6f-8393-e93dd0860499,pseudonymized_Telefonnummer_14,12.04.2022,pseudonymized_Vorname_14,def1
Bessere Kandidaten,"Pseudonymized, 2900 Appenzell Innerrhoden",29.09.2021,Headhunter,knapp ungenügend,sehr gut,knapp ungenügend,pseudonymized_E-Mail_15,67381.47,21.06.2023,14.01.1991,130-140k,F,"Siegrist, Ziegler and Schürch",Enis Bühler,Manon Bättig,Payroll Specialist,844c02a5-a6ba-457f-b759-81640bd7a85d,pseudonymized_Nachname_15,Luzern,Abgelehnt,0df787e7-24b2-4b48-b2cb-cb60ba6a5f0a,pseudonymized_Telefonnummer_15,03.11.2022,pseudonymized_Vorname_15,c887
Gehaltsvorstellungen zu hoch,"Pseudonymized, 5041 Aargau",07.11.2023,Headhunter,deutlich ungenügend,genügend,genügend,pseudonymized_E-Mail_16,115164.01,07.12.2023,11.08.1958,100-110k,M,Ziegler Inc,Teresa Schneider,Prof. Layla Küng,Budget Analyst,7cf433de-1b36-4a2e-bb99-1a89cbd6a6f0,pseudonymized_Nachname_16,Luzern,Eingereicht,441acd18-3a70-4fa1-92e8-b961b1cfd23b,pseudonymized_Telefonnummer_16,28.03.2024,pseudonymized_Vorname_16,918c
Unvollständige Bewerbung,"Pseudonymized, 1129 Appenzell Innerrhoden",19.12.2023,Headhunter,genügend,knapp ungenügend,sehr gut,pseudonymized_E-Mail_17,54401.02,24.01.2024,03.08.1979,60-70k,F,Haas-Näf,Remo Bernasconi,Joachim Kaiser,Copywriter,d34fee3a-738c-419c-a2d4-f2d456cf91e4,pseudonymized_Nachname_17,Bern,Assessment,e5fd4cab-02ad-4915-a048-2d3f83b68cc3,pseudonymized_Telefonnummer_17,21.05.2024,pseudonymized_Vorname_17,63cf
Andere,"Pseudonymized, 2277 Appenzell Innerrhoden",09.04.2023,Headhunter,sehr gut,sehr gut,genügend,pseudonymized_E-Mail_18,66715.73,30.10.2023,15.10.2001,50-60k,M,Zingg-Gasser,Damaris Zbinden,Greta Berger-Eichenberger,Database Administrator,d0cff7eb-cdb9-45c3-9002-85ae8fcab2fc,pseudonymized_Nachname_18,Zürich,Assessment,1bd1298a-750e-42ef-a739-fe3d17e52586,pseudonymized_Telefonnummer_18,09.03.2024,pseudonymized_Vorname_18,9535
Nicht verfügbar,"Pseudonymized, 9286 Solothurn",01.08.2020,Headhunter,sehr gut,gut,sehr gut,pseudonymized_E-Mail_19,91141.67,25.04.2023,08.12.1972,110-120k,M,Spörri-Gasser,Ela Imhof Bachmann,Wanda Giger,Content Creator,873bc9fc-fbac-4d57-9c59-4daba8f7456b,pseudonymized_Nachname_19,Luzern,Prescreening,426e8d3a-c0a1-40be-9c89-b629f6beca7d,pseudonymized_Telefonnummer_19,21.01.2024,pseudonymized_Vorname_19,9035
Andere,"Pseudonymized, 4842 Obwalden",11.04.2021,Headhunter,gut,genügend,deutlich ungenügend,pseudonymized_E-Mail_20,57888.38,16.05.2024,08.11.2001,120-130k,M,Maurer Inc,Aloisia Stöckli-Bühlmann,Hermine Hess,Budget Analyst,f169a42e-10f2-41ac-aaee-f8f5e6d52406,pseudonymized_Nachname_20,Zürich,Prescreening,74d8f5f7-14ae-410d-a446-73d87f8e8592,pseudonymized_Telefonnummer_20,30.03.2022,pseudonymized_Vorname_20,76dd
Bessere Kandidaten,"Pseudonymized, 6434 Freiburg",30.03.2022,Headhunter,deutlich ungenügend,sehr gut,deutlich ungenügend,pseudonymized_E-Mail_21,100289.43,04.05.2022,10.01.1965,60-70k,M,Haas-Näf,Remo Bernasconi,Marijana Blaser Schuler,HR Specialist,93791a67-944f-498b-b34f-189a9a7f40ac,pseudonymized_Nachname_21,Bern,Assessment,e409da55-f0f0-412a-a5ce-00847813735e,pseudonymized_Telefonnummer_21,20.04.2024,pseudonymized_Vorname_21,dc8a
Überqualifiziert,"Pseudonymized, 4565 Thurgau",16.12.2022,Headhunter,gut,gut,sehr gut,pseudonymized_E-Mail_22,132455.89,27.07.2023,07.07.1958,120-130k,M,Tanner-Stadelmann,Jasin Näf,Kristian Furrer,Recruiter,055eb6cc-9adc-4304-bec4-249f9a384535,pseudonymized_Nachname_22,Zürich,Prescreening,2d7d1c0f-34f6-4129-a4da-58f5a26b6c3c,pseudonymized_Telefonnummer_22,08.04.2024,pseudonymized_Vorname_22,5062
Unvollständige Bewerbung,"Pseudonymized, 1586 St. Gallen",25.02.2021,Headhunter,sehr gut,sehr gut,gut,pseudonymized_E-Mail_23,138013.42,18.04.2021,27.12.2004,60-70k,F,"Roos, Hodel and Favre",Dr. Waldemar Kunz,Joachim Kaiser,SEO Specialist,ecff2f39-1476-417e-ade0-1a657b5a8caf,pseudonymized_Nachname_23,Zürich,Prescreening,f9ffb936-3b63-474b-98f0-c21c3ceb8a93,pseudonymized_Telefonnummer_23,23.03.2024,pseudonymized_Vorname_23,d3fb
Zu wenig Erfahrung,"Pseudonymized, 2057 Bern",24.01.2024,Headhunter,knapp ungenügend,genügend,knapp ungenügend,pseudonymized_E-Mail_24,130383.16,25.04.2024,23.01.2003,90-100k,M,Zingg-Gasser,Damaris Zbinden,Hermine Hess,SEO Specialist,9e20ba3b-8d41-4a97-9a8b-32f441ac12d3,pseudonymized_Nachname_24,Luzern,Prescreening,f5d42de1-1b8e-4225-a0f0-ec6aa4f78186,pseudonymized_Telefonnummer_24,02.04.2024,pseudonymized_Vorname_24,b328
Andere,"Pseudonymized, 8977 Zürich",24.03.2022,Headhunter,sehr gut,knapp ungenügend,gut,pseudonymized_E-Mail_25,86270.28,23.11.2022,27.01.1992,60-70k,M,Albrecht-Forster,Dr. Petr Siegrist,Marijana Blaser Schuler,Database Administrator,4105ac6c-7668-4603-9b13-418b81fc5553,pseudonymized_Nachname_25,Bern,Prescreening,546ed43b-94a1-4578-ad2e-191a57c2a815,pseudonymized_Telefonnummer_25,26.05.2024,pseudonymized_Vorname_25,5345
Überqualifiziert,"Pseudonymized, 7909 Schwyz",03.07.2022,Headhunter,deutlich ungenügend,gut,sehr gut,pseudonymized_E-Mail_26,69242.78,11.09.2023,08.10.1986,110-120k,F,Zehnder Inc,Dr. Mercedes Kaiser,Ghislaine Walter,Accountant,f271af68-4622-43d1-8f01-f0b34e79ea34,pseudonymized_Nachname_26,Bern,Eingereicht,4f9ea43c-9587-4bcb-9475-20fb04c074f9,pseudonymized_Telefonnummer_26,30.01.2023,pseudonymized_Vorname_26,c944
Unzureichende Qualifikationen,"Pseudonymized, 6597 Bern",24.05.2022,Headhunter,gut,genügend,deutlich ungenügend,pseudonymized_E-Mail_27,120278.38,05.08.2022,29.08.1961,>140k,M,Haas-Näf,Remo Bernasconi,Gregor Eichenberger,Event Coordinator,08f65503-b86d-44b7-beb2-24ebedc42b97,pseudonymized_Nachname_27,Zürich,Abgelehnt,5fc5f4da-9ea1-4760-a9de-36c213dad2c2,pseudonymized_Telefonnummer_27,18.10.2023,pseudonymized_Vorname_27,268f
Andere,"Pseudonymized, 9296 Waadt",01.10.2022,Headhunter,deutlich ungenügend,knapp ungenügend,knapp ungenügend,pseudonymized_E-Mail_28,112327.23,25.12.2022,19.12.1997,130-140k,F,Tanner-Stadelmann,Jasin Näf,Marijana Blaser Schuler,Auditor,2bd17a99-1121-44e3-be8f-6421074deb22,pseudonymized_Nachname_28,Bern,Eingereicht,edf666a8-fe78-4da7-b45e-c8203fdbabfd,pseudonymized_Telefonnummer_28,15.04.2023,pseudonymized_Vorname_28,9b9d
Zu wenig Erfahrung,"Pseudonymized, 6705 Zug",21.12.2023,Headhunter,knapp ungenügend,deutlich ungenügend,genügend,pseudonymized_E-Mail_29,97879.55,21.05.2024,23.08.1993,100-110k,F,Albrecht-Forster,Dr. Petr Siegrist,Gregor Eichenberger,Payroll Specialist,c227f20b-c6c9-4cd2-9691-df637fd560e3,pseudonymized_Nachname_29,Zürich,Assessment,fe681601-b95b-477e-8ec7-ac9f70a4a82f,pseudonymized_Telefonnummer_29,20.03.2024,pseudonymized_Vorname_29,e9b7
Unzureichende Qualifikationen,"Pseudonymized, 3874 Schaffhausen",29.10.2022,Headhunter,sehr gut,sehr gut,gut,pseudonymized_E-Mail_30,119581.53,29.12.2023,05.01.1961,130-140k,F,Tanner-Stadelmann,Jasin Näf,Margret Hasler,Copywriter,9f472955-55c7-4131-b4de-8766f3c0e92e,pseudonymized_Nachname_30,Luzern,Eingereicht,c7515cb0-38d7-4967-9d69-a39f178a95e5,pseudonymized_Telefonnummer_30,02.02.2023,pseudonymized_Vorname_30,fe1f
Andere,"Pseudonymized, 8653 Genf",09.11.2020,Headhunter,genügend,knapp ungenügend,gut,pseudonymized_E-Mail_31,124903.74,26.10.2021,23.09.1972,>140k,F,Albrecht-Forster,Dr. Petr Siegrist,Marijana Blaser Schuler,PR Specialist,b798a779-0e50-477a-bc5e-4b00c123933e,pseudonymized_Nachname_31,Zürich,Abgelehnt,2a9656d5-655c-49ce-8271-1695f7cfb62a,pseudonymized_Telefonnummer_31,10.06.2021,pseudonymized_Vorname_31,66a2
Unvollständige Bewerbung,"Pseudonymized, 8390 Basel-Stadt",19.07.2022,Headhunter,deutlich ungenügend,genügend,genügend,pseudonymized_E-Mail_32,88706.6,03.09.2022,02.11.1976,80-90k,F,Zingg-Gasser,Damaris Zbinden,Franca Zürcher,Accountant,a559b95f-f7fa-4f75-beeb-fe2c08ca5102,pseudonymized_Nachname_32,Luzern,1. Interview,8fc59350-232d-448b-a1f8-861e39df6bd2,pseudonymized_Telefonnummer_32,28.10.2022,pseudonymized_Vorname_32,c1f9
Nicht verfügbar,"Pseudonymized, 8807 Zug",08.07.2022,Headhunter,sehr gut,sehr gut,gut,pseudonymized_E-Mail_33,82457.06,16.07.2023,11.11.1965,80-90k,M,Spörri-Gasser,Ela Imhof Bachmann,Irene Fuchs,HR Specialist,7a247c82-017f-4777-b693-21cfd9f9401b,pseudonymized_Nachname_33,Zürich,Prescreening,86e3e92e-29a2-4252-84b4-906bb791f47f,pseudonymized_Telefonnummer_33,10.03.2024,pseudonymized_Vorname_33,24fa
Nicht verfügbar,"Pseudonymized, 4501 Jura",24.08.2022,Headhunter,knapp ungenügend,sehr gut,sehr gut,pseudonymized_E-Mail_34,68726.25,21.12.2022,02.07.1965,70-80k,M,Haas-Näf,Remo Bernasconi,Franca Zürcher,Recruiter,7af14352-2947-4a18-991d-ffc8c9e16c83,pseudonymized_Nachname_34,Bern,Eingereicht,22a3af78-d2cf-4284-91a1-2b0321f543d8,pseudonymized_Telefonnummer_34,31.08.2022,pseudonymized_Vorname_34,fb67
Unzureichende Qualifikationen,"Pseudonymized, 8659 Jura",27.04.2022,Headhunter,genügend,deutlich ungenügend,sehr gut,pseudonymized_E-Mail_35,118896.65,20.06.2023,24.01.1996,100-110k,F,Maurer Inc,Aloisia Stöckli-Bühlmann,Joachim Kaiser,Recruiter,2a74fc85-37a7-4614-a857-dde1a9e14708,pseudonymized_Nachname_35,Bern,Assessment,a2c8f65e-efd7-41d9-8f79-fabfa5eed3b5,pseudonymized_Telefonnummer_35,03.09.2022,pseudonymized_Vorname_35,4551
Überqualifiziert,"Pseudonymized, 3204 St. Gallen",02.04.2024,Headhunter,genügend,sehr gut,gut,pseudonymized_E-Mail_36,91116.24,18.05.2024,24.07.1989,90-100k,M,"Siegrist, Ziegler and Schürch",Enis Bühler,Irene Fuchs,Social Media Manager,52e32135-b9f3-4406-8aa3-0a3fbef66cc2,pseudonymized_Nachname_36,Zürich,1. Interview,5ee0f95a-6399-4313-81bc-305613ac37a3,pseudonymized_Telefonnummer_36,02.06.2024,pseudonymized_Vorname_36,cff6
Andere,"Pseudonymized, 3767 Neuenburg",03.04.2023,Headhunter,deutlich ungenügend,genügend,knapp ungenügend,pseudonymized_E-Mail_37,119540.85,30.08.2023,30.12.1974,80-90k,F,Ziegler Inc,Teresa Schneider,Séverine Huber,Marketing Manager,c2b91ff9-9b72-4022-9ef8-dea4d9419110,pseudonymized_Nachname_37,Bern,Angebot,8bcbc449-67d6-4f87-afa8-e7cce6ffbdea,pseudonymized_Telefonnummer_37,23.04.2023,pseudonymized_Vorname_37,cb47
Gehaltsvorstellungen zu hoch,"Pseudonymized, 2034 Basel-Landschaft",23.08.2023,Headhunter,genügend,sehr gut,genügend,pseudonymized_E-Mail_38,66391.58,16.02.2024,22.04.1988,70-80k,M,"Roos, Hodel and Favre",Dr. Waldemar Kunz,Marijana Blaser Schuler,Social Media Manager,1b715ee8-01ad-44e9-8997-4ccd80e2dc79,pseudonymized_Nachname_38,Bern,Prescreening,1a37ad49-740c-4dcd-8d65-bee42f374208,pseudonymized_Telefonnummer_38,12.04.2024,pseudonymized_Vorname_38,5a68
Unvollständige Bewerbung,"Pseudonymized, 1681 Tessin",09.03.2022,Headhunter,gut,deutlich ungenügend,genügend,pseudonymized_E-Mail_39,66334.86,15.03.2023,15.11.1979,>140k,M,Haas-Näf,Remo Bernasconi,Séverine Huber,Financial Analyst,e6c27696-1cb3-4abd-9b5d-9305aa0fe664,pseudonymized_Nachname_39,Bern,Angebot,9b4c2409-6a03-4c10-bca6-cca04035ee4d,pseudonymized_Telefonnummer_39,30.09.2023,pseudonymized_Vorname_39,6e72
Bessere Kandidaten,"Pseudonymized, 6820 Luzern",29.08.2022,Headhunter,gut,sehr gut,genügend,pseudonymized_E-Mail_40,131787.99,07.05.2023,11.04.1980,130-140k,M,"Siegrist, Ziegler and Schürch",Enis Bühler,Wanda Giger,Recruiter,75bd640a-bf12-4eb9-b3b8-2f952724f6ff,pseudonymized_Nachname_40,Bern,Abgelehnt,719156ab-226e-44de-9bb6-4ae4ea947d9d,pseudonymized_Telefonnummer_40,18.08.2023,pseudonymized_Vorname_40,9b7e
Andere,"Pseudonymized, 9664 Glarus",27.06.2023,Headhunter,deutlich ungenügend,sehr gut,knapp ungenügend,pseudonymized_E-Mail_41,116622.23,24.08.2023,21.02.1965,>140k,F,Zingg-Gasser,Damaris Zbinden,Prof. Layla Küng,Accountant,e1a54ae6-bba8-44f6-b494-06a07f87c211,pseudonymized_Nachname_41,Bern,Prescreening,95196713-fe2c-4a8e-9645-c04d4e5a8969,pseudonymized_Telefonnummer_41,01.10.2023,pseudonymized_Vorname_41,8556
Überqualifiziert,"Pseudonymized, 6582 Waadt",18.02.2021,Headhunter,deutlich ungenügend,knapp ungenügend,sehr gut,pseudonymized_E-Mail_42,137019.02,26.01.2024,04.01.2003,120-130k,F,Maurer Inc,Aloisia Stöckli-Bühlmann,Manon Bättig,Event Coordinator,2b425c57-2fd2-4455-b184-775d579b2da5,pseudonymized_Nachname_42,Zürich,Abgelehnt,a0de256c-af07-487c-bc1f-105f13fbae6b,pseudonymized_Telefonnummer_42,13.03.2024,pseudonymized_Vorname_42,0e4f
Unzureichende Qualifikationen,"Pseudonymized, 9560 Bern",25.09.2023,Headhunter,genügend,genügend,genügend,pseudonymized_E-Mail_43,63634.29,26.12.2023,01.09.1966,110-120k,M,Spörri-Gasser,Ela Imhof Bachmann,Greta Berger-Eichenberger,Financial Analyst,c6e253df-b829-4351-8aa3-8e12e3b15c1f,pseudonymized_Nachname_43,Zürich,Prescreening,423f8243-e638-4384-8b04-b0edb7a5313f,pseudonymized_Telefonnummer_43,23.05.2024,pseudonymized_Vorname_43,9532
Gehaltsvorstellungen zu hoch,"Pseudonymized, 3039 Jura",13.04.2024,Headhunter,knapp ungenügend,knapp ungenügend,gut,pseudonymized_E-Mail_44,52722.24,22.05.2024,15.08.1981,80-90k,F,Maurer Inc,Aloisia Stöckli-Bühlmann,Wanda Giger,PR Specialist,fcfd32b4-2b47-49ce-bb1d-86d626f1a0c1,pseudonymized_Nachname_44,Zürich,1. Interview,f311cd18-4b83-4683-ba32-d93ae8bf34a8,pseudonymized_Telefonnummer_44,27.04.2024,pseudonymized_Vorname_44,3fdd
Gehaltsvorstellungen zu hoch,"Pseudonymized, 3653 Freiburg",27.12.2023,Headhunter,knapp ungenügend,knapp ungenügend,gut,pseudonymized_E-Mail_45,58886.87,03.02.2024,06.11.1980,70-80k,M,"Siegrist, Ziegler and Schürch",Enis Bühler,Manon Bättig,Event Coordinator,9be20911-be86-445a-91c8-f4c7845c7c8c,pseudonymized_Nachname_45,Zürich,1. Interview,17dbe395-3abc-4564-b049-c1ff682903ee,pseudonymized_Telefonnummer_45,24.05.2024,pseudonymized_Vorname_45,06ce
Überqualifiziert,"Pseudonymized, 7076 St. Gallen",02.11.2022,Headhunter,sehr gut,gut,genügend,pseudonymized_E-Mail_46,100855.16,24.08.2023,17.11.2003,80-90k,M,Ziegler Inc,Teresa Schneider,Irene Fuchs,HR Specialist,10a39592-acec-41d4-94ea-17be655caf9e,pseudonymized_Nachname_46,Zürich,Angebot,834f371d-6d69-4e79-a93d-6b651cc81233,pseudonymized_Telefonnummer_46,16.11.2023,pseudonymized_Vorname_46,cf5b
Überqualifiziert,"Pseudonymized, 3242 Obwalden",08.11.2020,Headhunter,genügend,knapp ungenügend,deutlich ungenügend,pseudonymized_E-Mail_47,99279.0,22.11.2020,19.04.1961,80-90k,F,Spörri-Gasser,Ela Imhof Bachmann,Hermine Hess,Network Administrator,ee43d734-5688-47fb-b131-9efd1f8271dd,pseudonymized_Nachname_47,Bern,Prescreening,aa447f0a-db73-48c3-9988-b0b34eb02e47,pseudonymized_Telefonnummer_47,16.12.2020,pseudonymized_Vorname_47,f0e0
Unzureichende Qualifikationen,"Pseudonymized, 6299 Jura",01.04.2023,Headhunter,genügend,knapp ungenügend,genügend,pseudonymized_E-Mail_48,110538.77,25.12.2023,09.04.2005,110-120k,F,Zehnder Inc,Dr. Mercedes Kaiser,Manon Bättig,Recruiter,e52c7476-d1a7-48f3-9219-15550ac3d3ae,pseudonymized_Nachname_48,Bern,Eingereicht,f89d6ca4-cd4b-4437-91e4-8715ffdc5b09,pseudonymized_Telefonnummer_48,26.07.2023,pseudonymized_Vorname_48,3149
Gehaltsvorstellungen zu hoch,"Pseudonymized, 8518 Neuenburg",01.06.2020,Headhunter,knapp ungenügend,gut,gut,pseudonymized_E-Mail_49,125853.07,09.09.2020,08.11.1969,>140k,F,Ziegler Inc,Teresa Schneider,Irene Fuchs,SEO Specialist,9884adee-09e5-4aba-b4d2-f2910828fb05,pseudonymized_Nachname_49,Zürich,Prescreening,cb0a325d-e820-4e0f-a115-c50ee710973f,pseudonymized_Telefonnummer_49,08.08.2022,pseudonymized_Vorname_49,2bf2
Überqualifiziert,"Pseudonymized, 8554 Appenzell Innerrhoden",04.05.2023,Headhunter,genügend,genügend,genügend,pseudonymized_E-Mail_50,84466.91,26.08.2023,08.02.1969,110-120k,M,Albrecht-Forster,Dr. Petr Siegrist,Ghislaine Walter,Content Creator,0e76d3f7-a726-4d53-8ec4-ba8fd1f0484b,pseudonymized_Nachname_50,Zürich,Prescreening,31219751-af14-4a24-9879-e3a68494f373,pseudonymized_Telefonnummer_50,10.11.2023,pseudonymized_Vorname_50,060f
